	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	angVel
8	15	0.01	-0.17	1	-0.21	-0.02	0.02	-0.08	-0.24	0	-1.7	-0.17	0.18	0	0	0	0.01	0.48	0	0
8	15	0.01	-0.17	1	-0.22	-0.05	0.02	-0.09	-0.27	0	-1.7	-0.17	0.23	0	0	0	0.02	0.48	0	0
8	15	0.01	-0.17	1	-0.23	-0.08	0.02	-0.11	-0.3	0	-1.7	-0.17	0.27	0	0	0	0.01	0.49	0	0
8	15	-0.01	-0.17	1	-0.23	-0.12	0.02	-0.11	-0.34	0	-17	0.31	-0.17	0	0	0	0	0.5	0	0
8	15	0.01	0.29	0	-0.24	-0.16	0.02	0	-0.5	0	2.9	0.35	-0.36	0	0	0	0	0.5	0	0
8	15	0.04	0.35	0	-0.24	-0.21	0.02	0	-0.5	0	0.875	0.35	-0.36	0	0	0	0	0.5	0	0
8	15	0.43	0	0	-0.33	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.49	0	-0.33	0.45	0.02	0	-0.5	0	-0.1289	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.33	-0.49	0	-0.33	0.4	0.02	0	-0.5	0	-0.1485	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.29	-0.48	0	-0.33	0.35	0.02	0	-0.5	0	-0.1655	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.24	-0.48	0	-0.33	0.3	0.02	0	-0.5	0	-0.2	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.19	-0.46	0	-0.33	0.25	0.02	0	-0.5	0	-0.2421	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.15	-0.44	0	-0.33	0.2	0.02	0	-0.5	0	-0.2933	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.1	-0.39	0	-0.33	0.15	0.02	0	-0.5	0	-0.39	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.07	-0.26	0	-0.33	0.1	0.02	0	-0.5	0	-0.3714	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.06	0	0	-0.33	0.05	0.02	0	-0.5	0	0	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.06	0	0	-0.33	0	0.02	0	-0.5	0	0	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.06	0	0	-0.33	-0.05	0.02	0	-0.5	0	0	0	0.5	0	0	0	0	0.5	0	0
8	15	0.07	0.26	0	-0.33	-0.1	0.02	0	-0.5	0	0.3714	0	0.5	0	0	0	0	0.5	0	0
8	15	0.1	0.39	0	-0.33	-0.15	0.02	0	-0.5	0	0.39	0	0.5	0	0	0	0	0.5	0	0
8	15	0.14	0.44	0	-0.33	-0.2	0.02	0	-0.5	0	0.3143	0	0.5	0	0	0	0	0.5	0	0
8	15	0.19	0.46	0	-0.33	-0.25	0.02	0	-0.5	0	0.2421	0	0.5	0	0	0	0	0.5	0	0
8	15	0.24	0.48	0	-0.33	-0.3	0.02	0	-0.5	0	0.2	0	0.5	0	0	0	0	0.5	0	0
8	15	0.29	0.48	0	-0.33	-0.35	0.02	0	-0.5	0	0.1655	0	0.5	0	0	0	0	0.5	0	0
8	15	0.42	0	0	-0.14	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.14	0.45	0.02	0	-0.5	0	-0.1316	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	-0.14	0.4	0.02	0	-0.5	0	-0.1562	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.14	0.35	0.02	0	-0.5	0	-0.1786	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.14	0.3	0.02	0	-0.5	0	-0.2273	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.14	0.25	0.02	0	-0.5	0	-0.2778	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.14	0.2	0.02	0	-0.5	0	-0.3846	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.14	0.15	0.02	0	-0.5	0	-0.625	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.14	0.1	0.02	0	-0.5	0	-2.5	-0.5	0	0	0	0	0	0.49	0	0
8	15	0	-0.18	1	-0.14	0.07	0.02	0.06	-0.18	0	-18	-0.18	-0.05	0	0	0	0	0.5	0	0
8	15	0	-0.17	1	-0.14	0.05	0.02	0	-0.17	0	-17	-0.17	0.03	0	0	0	0	0.5	0	0
8	15	0.01	-0.17	1	-0.14	0.04	0.02	-0.04	-0.19	0	-1.7	-0.17	0.1	0	0	0	0	0.5	0	0
8	15	0.01	-0.16	1	-0.15	0.02	0.02	-0.07	-0.21	0	-1.6	-0.16	0.15	0	0	0	0	0.5	0	0
8	15	-0.01	-0.16	1	-0.15	-0.01	0.02	-0.09	-0.24	0	-16	-0.16	0.2	0	0	0	0	0.5	0	0
8	15	0	-0.18	1	-0.16	-0.03	0.02	-0.1	-0.3	0	-18	-0.18	0.26	0	0	0	0	0.5	0	0
8	15	0	-0.17	1	-0.18	-0.06	0.02	-0.1	-0.33	0	-17	-0.17	0.3	0	0	0	0	0.5	0	0
8	15	0	-0.17	1	-0.19	-0.1	0.02	-0.1	-0.36	0	-17	-0.17	0.33	0	0	0	0	0.5	0	0
8	15	0	-0.19	1	-0.2	-0.13	0.02	-0.08	-0.41	0	-19	-0.19	0.37	0	0	0	0	0.5	0	0
8	15	0	0.09	1	-0.21	-0.18	0.02	-0.02	-0.49	0	9	0.41	-0.26	0	0	0	0	0.5	0	0
8	15	0.42	0	0	0	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	0	0.45	0.02	0	-0.5	0	-0.1316	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	0	0.4	0.02	0	-0.5	0	-0.1562	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	0	0.35	0.02	0	-0.5	0	-0.1786	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	0	0.3	0.02	0	-0.5	0	-0.2273	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	0	0.25	0.02	0	-0.5	0	-0.2778	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	0	0.2	0.02	0	-0.5	0	-0.3846	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	0	0.15	0.02	0	-0.5	0	-0.625	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	0	0.1	0.02	0	-0.5	0	-2.5	-0.5	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	-0.01	0	0	0	0	0.01	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0.42	0	0	-0.09	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.09	0.45	0.02	0	-0.5	0	-0.1316	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.34	-0.5	0	-0.09	0.41	0.02	0	-0.5	0	-0.1471	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.09	0.35	0.02	0	-0.5	0	-0.1786	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.09	0.3	0.02	0	-0.5	0	-0.2273	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.09	0.25	0.02	0	-0.5	0	-0.2778	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.09	0.2	0.02	0	-0.5	0	-0.3846	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.09	0.15	0.02	0	-0.5	0	-0.625	-0.5	0	0	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.09	0.1	0.02	0	-0.5	0	-2.5	-0.5	0	0	0	0	0	0.5	0	0
8	15	0	-0.13	1	-0.09	0.07	0.02	0.05	-0.13	0	-13	-0.13	-0.04	0	0	0	0	0.49	0	0
8	15	0	-0.11	1	-0.09	0.06	0.02	0	-0.11	0	-11	-0.11	0.02	0	0	0	0	0.49	0	0
8	15	0	-0.09	1	-0.09	0.05	0.02	-0.06	-0.12	0	-9	-0.09	0.1	0	0	0	0.01	0.49	0	0
8	15	0	-0.08	1	-0.1	0.03	0.02	-0.12	-0.15	0	-8	-0.08	0.18	0	0	0	0.01	0.48	0	0
8	15	0	-0.09	1	-0.11	0.01	0.02	-0.13	-0.2	0	-9	-0.09	0.22	0	0	0	0.01	0.49	0	0
8	15	0	-0.11	1	-0.12	-0.01	0.02	-0.14	-0.26	0	-11	-0.11	0.28	0	0	0	0.01	0.49	0	0
8	15	0	-0.11	1	-0.14	-0.04	0.02	-0.14	-0.3	0	-11	-0.11	0.31	0	0	0	0.01	0.49	0	0
8	15	0	-0.12	1	-0.15	-0.07	0.02	-0.13	-0.35	0	-12	-0.12	0.35	0	0	0	0.01	0.49	0	0
8	15	-0.01	-0.11	1	-0.16	-0.11	0.02	-0.13	-0.38	0	-11	-0.11	0.39	0	0	0	0.01	0.49	0	0
8	15	0	-0.13	1	-0.18	-0.15	0.02	-0.1	-0.41	0	-13	-0.13	0.4	0	0	0	0.01	0.5	0	0
